,ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End,Day,Day1,minutes
1884,DNE2,MME2,DNE2->MME2,3/20/2024 23:59,3/20/2024,2:30,4:00,3/20/2024,4:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-20,Wed,150
1885,DNE2,MME2,DNE2->MME2,3/20/2024 23:59,3/20/2024,7:00,8:30,3/20/2024,9:29,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,0:00-9:00,,0:00,9:00,,,2024-03-20,Wed,420
1886,DNE2,MME2,DNE2->MME2,3/20/2024 23:59,3/20/2024,18:30,20:00,3/20/2024,20:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,,,,,,,2024-03-20,Wed,1110
1887,DNE2,MME2,DNE2->MME2,3/20/2024 23:59,3/20/2024,19:30,21:00,3/20/2024,21:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,,,,,,,2024-03-20,Wed,1170
1888,DNE2,MME2,DNE2->MME2,3/21/2024 23:59,3/20/2024,22:30,0:00,3/21/2024,0:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,,,,,,,2024-03-20,Wed,1350
1889,DNE2,MME2,DNE2->MME2,3/21/2024 23:59,3/21/2024,0:00,1:30,3/21/2024,2:29,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,0:00-9:00,0:00-1:00,0:00,9:00,0:00,1:00,2024-03-21,Thu,0
1890,DNE2,MME2,DNE2->MME2,3/21/2024 23:59,3/21/2024,2:30,4:00,3/21/2024,4:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-21,Thu,150
1891,DNE2,MME2,DNE2->MME2,3/21/2024 23:59,3/21/2024,6:30,8:00,3/21/2024,8:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,0:00-9:00,,0:00,9:00,,,2024-03-21,Thu,390
1892,DNE2,MME2,DNE2->MME2,3/21/2024 23:59,3/21/2024,18:30,20:00,3/21/2024,20:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,,,,,,,2024-03-21,Thu,1110
1893,DNE2,MME2,DNE2->MME2,3/21/2024 23:59,3/21/2024,19:30,21:00,3/21/2024,21:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,,,,,,,2024-03-21,Thu,1170
